,Random,ZO Optimistic,ZO Pessimistic,ZO Rational,FO vs Optimistic,FO vs Pessimistic,FO vs Rational,SO vs FO Optimistic,SO vs FO Pessimistic,SO vs FO Rational
Random,4983.0,4803.0,4278.0,4115.0,2867.0,6443.0,6020.0,5633.0,5755.0,5765.0
ZO Optimistic,5273.0,5004.0,4462.0,4201.0,4808.0,4814.0,4918.0,4724.0,4848.0,4674.0
ZO Pessimistic,5764.0,5606.0,5031.0,4847.0,5484.0,5577.0,5456.0,5459.0,5459.0,5502.0
ZO Rational,5881.0,5846.0,5174.0,4940.0,5593.0,5620.0,5647.0,5684.0,5632.0,5581.0
FO vs Optimistic,7127.0,5217.0,4485.0,4447.0,5007.0,9695.0,8420.0,7892.0,8769.0,8374.0
FO vs Pessimistic,3601.0,5186.0,4575.0,4325.0,292.0,4927.0,4602.0,4522.0,4799.0,4616.0
FO vs Rational,4071.0,5285.0,4561.0,4498.0,1583.0,5540.0,4941.0,4633.0,4912.0,4852.0
SO vs FO Optimistic,4405.0,5321.0,4496.0,4405.0,1996.0,5550.0,5376.0,4901.0,5071.0,5173.0
SO vs FO Pessimistic,4159.0,5279.0,4568.0,4389.0,1224.0,5209.0,5030.0,4880.0,5004.0,4986.0
SO vs FO Rational,4192.0,5226.0,4468.0,4339.0,1614.0,5327.0,5237.0,4893.0,5046.0,4967.0
